name,group,nodesize
html,6,272.45
css,6,341.17
ruby,3,70.14
ruby-on-rails,3,55.31
ios,4,87.46
swift,4,63.62
html5,6,140.18
c,1,189.83
c++,1,268.11
asp.net,2,129.55
c#,2,321.13
objective-c,4,47.01
javascript,6,649.16
jquery,6,208.29
reactjs,3,59.03
mysql,6,165.43
.net,2,75.08
react-native,3,13.61
apache-spark,10,11.04
sql-server,2,64.62
node.js,3,117.36
mongodb,3,50.95
iphone,4,15.29
github,5,12.71
git,5,54.48
android,4,229.86
java,8,610.65
scala,10,27.02
ajax,6,35.41
django,1,40.91
python,1,438.67
apache,5,13.17
angularjs,6,126.59
plsql,2,10.32
oracle,2,30.19
json,6,25.38
xml,6,23.77
flask,1,9.39
java-ee,8,22.45
maven,8,10.3
bash,5,23.91
linux,5,108.54
angular2,7,18.79
typescript,7,17.53
android-studio,4,14.79
docker,9,22.85
osx,4,12.58
machine-learning,1,44.21
windows,5,19.71
ubuntu,5,11.98
r,1,52.7
go,9,24.84
visual-studio,2,18.13
postgresql,3,39.03
sql,2,154.23
unix,5,15.67
eclipse,8,11.39
shell,5,11.63
haskell,10,11.18
regex,13,9.46
perl,13,19.38
matlab,1,27.21
